Term,Types,Subtypes,required_fields
sample_type,core,surface_core,sample_ID
sample_type,core,Surface_core,sample_type
sample_type,core,Surface_core,collection_protocol_ID
sample_type,core,Surface_core,sampling_location_on_grid
sample_type,core,Surface_core,sampling_location_height_level
sample_type,core,Surface_core,date-time_of_collection
sample_type,core,Surface_core,date_of_collection
sample_type,core,Surface_core,time_of_collection
sample_type,core,Surface_core,operator
sample_type,core,Pit_core_(full),sample_ID
sample_type,core,Pit_core_(full),sample_type
sample_type,core,Pit_core_(full),collection_protocol_ID
sample_type,core,Pit_core_(full),sampling_location_on_grid
sample_type,core,Pit_core_(full),sampling_location_height_level
sample_type,core,Pit_core_(full),date-time_of_collection
sample_type,core,Pit_core_(full),date_of_collection
sample_type,core,Pit_core_(full),time_of_collection
sample_type,core,Pit_core_(full),operator
sample_type,core,Pit_core_(small),sample_ID
sample_type,core,Pit_core_(small),sample_type
sample_type,core,Pit_core_(small),collection_protocol_ID
sample_type,core,Pit_core_(small),sampling_location_on_grid
sample_type,core,Pit_core_(small),sampling_location_height_level
sample_type,core,Pit_core_(small),date-time_of_collection
sample_type,core,Pit_core_(small),date_of_collection
sample_type,core,Pit_core_(small),time_of_collection
sample_type,core,Pit_core_(small),operator
sample_type,litter_sample,,sample_ID
sample_type,litter_sample,,sample_type
sample_type,litter_sample,,collection_protocol_ID
sample_type,litter_sample,,sampling_location_on_grid
sample_type,litter_sample,,sampling_location_height_level
sample_type,litter_sample,,date-time_of_collection
sample_type,litter_sample,,date_of_collection
sample_type,litter_sample,,time_of_collection
sample_type,litter_sample,,operator
sample_type,live_leaf_sample,,sample_ID
sample_type,live_leaf_sample,,sample_type
sample_type,live_leaf_sample,,collection_protocol_ID
sample_type,live_leaf_sample,,sampling_location_on_grid
sample_type,live_leaf_sample,,sampling_location_height_level
sample_type,live_leaf_sample,,date-time_of_collection
sample_type,live_leaf_sample,,date_of_collection
sample_type,live_leaf_sample,,time_of_collection
sample_type,live_leaf_sample,,tree_host
sample_type,live_leaf_sample,,tree_ID
sample_type,live_leaf_sample,,sun_exposure
sample_type,live_leaf_sample,,sampling_location_height_from_the_ground
sample_type,live_leaf_sample,,sampling_location_closest_frame_level
sample_type,live_leaf_sample,,leaf_age
sample_type,live_leaf_sample,,operator
sample_type,soil_surface_sample,,sample_ID
sample_type,soil_surface_sample,,sample_type
sample_type,soil_surface_sample,,collection_protocol_ID
sample_type,soil_surface_sample,,sampling_location_on_grid
sample_type,soil_surface_sample,,sampling_location_height_level
sample_type,soil_surface_sample,,date-time_of_collection
sample_type,soil_surface_sample,,date_of_collection
sample_type,soil_surface_sample,,time_of_collection
sample_type,soil_surface_sample,,operator
sample_type,root_sample,,sample_ID
sample_type,root_sample,,sample_type
sample_type,root_sample,,collection_protocol_ID
sample_type,root_sample,,sampling_location_on_grid
sample_type,root_sample,,sampling_location_height_level
sample_type,root_sample,,date-time_of_collection
sample_type,root_sample,,date_of_collection
sample_type,root_sample,,time_of_collection
sample_type,root_sample,,operator
sample_type,subsample_core,,date_of_subsampling
sample_type,subsample_core,,operator
sample_type,subsample_core,,parent_sample_name
sample_type,subsample_core,,parent_sample_ID
sample_type,subsample_Litter_sample,,date_of_subsampling
sample_type,subsample_Litter_sample,,operator
sample_type,subsample_Litter_sample,,parent_sample_name
sample_type,subsample_Litter_sample,,parent_sample_ID
sample_type,subsample_live_leaf_sample,,date_of_subsampling
sample_type,subsample_live_leaf_sample,,operator
sample_type,subsample_live_leaf_sample,,parent_sample_name
sample_type,subsample_live_leaf_sample,,parent_sample_ID
sample_type,subsample_soil_surface_sample,,date_of_subsampling
sample_type,subsample_soil_surface_sample,,operator
sample_type,subsample_soil_surface_sample,,parent_sample_name
sample_type,subsample_soil_surface_sample,,parent_sample_ID
sample_type,root_sample,,date_of_subsampling
sample_type,root_sample,,operator
sample_type,root_sample,,parent_sample_name
sample_type,root_sample,,parent_sample_ID
